stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\uryel\source\repos\UryelJo\Allegro-game-2\x64\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.08472] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.08482] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08489] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.08500] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08509] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08518] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08526] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08536] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08544] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.08553] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08563] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.08572] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08581] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.08590] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08598] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.08608] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08615] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.08624] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08633] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.08642] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08649] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.08659] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08667] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08676] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08685] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08694] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08702] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.08711] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08719] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.08728] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08736] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.08745] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08754] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.08762] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08770] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.08778] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08785] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.08794] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08803] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.08812] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08820] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
